0.9921::teamplaysinleague(georgewashingtonuniversityselliottschool, international).
0.9999::athleteplayssport(brentleach, baseball).
0.9960::athleteplayssport(jamiemoyer, baseball).
0.9375::athleteplayssport(mikeparisi, baseball).
0.907::athleteplayssport(anthonysmith, football).
0.907::athleteplayssport(ericdickerson, football).
0.9375::athleteplayssport(carltonfisk, baseball).
0.9994::athleteplayssport(armandogabino, baseball).
0.9375::athleteplayssport(corydoyne, baseball).
0.9375::athleteplayssport(antonioosuna, baseball).
0.9375::athleteplayssport(tommartin, baseball).
0.9375::athleteplayssport(felixventura, baseball).
1.0::athleteplayssport(robbynaish, sailing).
0.9109::athleteplayssport(paugasol, basketball).
0.9994::athleteplayssport(markdifelice, baseball).
0.9535::athleteplayssport(jeremyshockey, football).
0.9685::athleteplayssport(goosegossage, baseball).
0.9375::athleteplayssport(bradvoyles, baseball).
0.9375::athleteplayssport(damianmoss, baseball).
0.9375::athleteplayssport(andersongarcia, baseball).
1.0::athleteplayssport(tommastny, baseball).
0.9687::athleteplayssport(drmichaelhurdzan, golf).
0.9375::athleteplayssport(isidromarquez, baseball).
0.9842::athleteplayssport(johngrabow, baseball).
0.948::athleteplayssport(benwallace, basketball).
0.907::athleteplayssport(warrensapp, football).
0.9375::athleteplayssport(codyscarpetta, baseball).
0.9375::athleteplayssport(jamievermilyea, baseball).
0.9375::athleteplayssport(chrisgissell, baseball).
0.9375::athleteplayssport(braewright, baseball).
1.0::athleteplayssport(mattthornton, baseball).
1.0::athleteplayssport(tigerwoods, golf).
1.0::athleteplayssport(gregsmith, baseball).
0.9960::athleteplayssport(honuswagner, baseball).
1.0::athleteplayssport(royjonesjr, boxing).
1.0::athleteplayssport(samueldeduno, baseball).
0.9109::athleteplayssport(brianbrohm, hockey).
0.9955::athleteplayssport(tonypenajr, baseball).
0.9375::athleteplayssport(rubenquevedo, baseball).
0.9375::athleteplayssport(eudebrito, baseball).
0.9375::athleteplayssport(bobkeppel, baseball).
1.0::athleteplayssport(patrafter, tennis).
0.9963::athleteplayssport(ryanfeierabend, baseball).
1.0::athleteplayssport(kurtbirkins, baseball).
0.9687::athleteplayssport(jasonberken, baseball).
0.9999::athleteplayssport(dye, golf).
0.9375::athleteplayssport(albertocastillo, baseball).
0.9994::athleteplayssport(gregjones, baseball).
0.9960::athleteplayssport(joebeimel, baseball).
0.9960::athleteplayssport(alistermackenzie, golf).
0.9535::athleteplayssport(brettfavre, football).
0.9980::athleteplayssport(tomwatson, golf).
1.0::athleteplayssport(sting, wrestling).
0.9375::athleteplayssport(bradjames, baseball).
0.9767::athleteplayssport(emmittsmith, football).
0.9687::athleteplayssport(tombendelow, golf).
0.9375::athleteplayssport(dennystark, baseball).
0.9109::athleteplayssport(gregoden, football).
0.9955::athleteplayssport(katsuhikomaekawa, baseball).
0.9375::athleteplayssport(sailrivera, baseball).
0.9963::athleteplayssport(macaymcbride, baseball).
0.9375::athleteplayssport(lindsaydavenport, tennis).
0.9981::athleteplayssport(danmeyer, baseball).
0.9375::athleteplayssport(joebisenius, baseball).
0.9535::athleteplayssport(frantarkenton, football).
0.9375::athleteplayssport(richthompson, baseball).
1.0::athleteplayssport(scottpatterson, baseball).
0.991::athleteplayssport(kylegunderson, baseball).
1.0::athleteplayssport(michaelphelps, swimming).
0.9998::athleteplayssport(mcgwire, baseball).
0.9109::athleteplayssport(tayshaunprince, basketball).
0.9842::athleteplayssport(jefffrancoeur, baseball).
1.0::athleteplayssport(vitaliklitschko, boxing).
0.9970::athleteplayssport(felixhernandez, baseball).
0.9375::athleteplayssport(santiagoramirez, baseball).
1.0::athleteplayssport(anthonyclaggett, baseball).
1.0::athleteplayssport(jonathancoachman, wrestling).
1.0::athleteplayssport(mikezagurski, baseball).
0.9977::athleteplayssport(keiichiyabu, baseball).
0.9999::athleteplayssport(esmilrogers, baseball).
0.9955::athleteplayssport(joemontana, football).
0.907::athleteplayssport(mcgahee, football).
0.9375::athleteplayssport(jasonstandridge, baseball).
0.9960::athleteplayssport(bobbyweed, golf).
0.9999::athleteplayssport(jdmartin, baseball).
0.9535::athleteplayssport(chadjohnson, football).
0.9375::athleteplayssport(jonlink, baseball).
0.9921::athleteplayssport(brianshouse, baseball).
0.9981::athleteplayssport(jaymarshall, baseball).
0.9375::athleteplayssport(joncoutlangus, baseball).
0.9994::athleteplayssport(brianmatusz, baseball).
0.9687::athleteplayssport(jacknicklausandarnoldpalmer, golf).
0.9999::athleteplayssport(joshhancock, baseball).
0.9375::athleteplayssport(esmailincaridad, baseball).
1.0::athleteplayssport(kammickolio, baseball).
1.0::athleteplayssport(federer, tennis).
0.9994::athleteplayssport(carlosmuniz, baseball).
0.9927::athleteplayssport(angelsanchez, baseball).
0.9955::athleteplayssport(victordiaz, baseball).
0.9375::athleteplayssport(randyheckenkemper, golf).
1.0::athleteplayssport(mickfoley, wrestling).
1.0::athleteplayssport(trishstratus, wrestling).
0.9375::athleteplayssport(davidpurcey, baseball).
0.9375::athleteplayssport(robbell, baseball).
0.9375::athleteplayssport(robertmanuel, baseball).
0.9995::athleteplayssport(michaelclayton, baseball).
0.9109::athleteplayssport(riphamilton, basketball).
0.9842::athleteplayssport(ellsbury, baseball).
0.9375::athleteplayssport(samlecure, baseball).
0.9997::athleteplayssport(johnlackey, baseball).
1.0::athleteplayssport(buddycarlyle, baseball).
1.0::athleteplayssport(bartolocolon, baseball).
0.9375::athleteplayssport(billykoch, baseball).
0.9375::athleteplayssport(joseacevedo, baseball).
0.9375::athleteplayssport(jacobturner, baseball).
0.9109::athleteplayssport(amarestoudemire, basketball).
0.9994::athleteplayssport(jailenpeguero, baseball).
0.9375::athleteplayssport(fernandonieve, baseball).
0.937::athleteplayssport(maddux, baseball).
1.0::athleteplayssport(mannypacquiao, boxing).
0.9375::athleteplayssport(johnnygarland, baseball).
0.9109::athleteplayssport(duhon, basketball).
1.0::athleteplayssport(kevinnash, wrestling).
1.0::athleteplayssport(kevinmulvey, baseball).
0.971::athleteplayssport(joshshortslef, baseball).
0.9999::athleteplayssport(pedrostrop, baseball).
0.9109::athleteplayssport(calvinjohnson, hockey).
0.9687::athleteplayssport(lleytonhewitt, tennis).
0.9375::athleteplayssport(awtillinghast, golf).
0.9981::athleteplayssport(jordantata, baseball).
0.9767::athleteplayssport(carsonpalmer, football).
0.9375::athleteplayssport(jacksonquezada, baseball).
0.907::athleteplayssport(priestholmes, football).
0.9999::athleteplayssport(yoslanherrera, baseball).
1.0::athleteplayssport(alexramirez, baseball).
0.9999::athleteplayssport(clevelandindians, baseball).
0.9960::athleteplayssport(scottkazmir, baseball).
0.9375::athleteplayssport(hectorrondon, baseball).
0.9941::athleteplayssport(drewbrees, football).
0.9790::athleteplayssport(kevinjohnson, basketball).
0.9921::athleteplayssport(vonhagge, golf).
0.9687::athleteplayssport(junichitazawa, baseball).
0.9955::athleteplayssport(marquisgrissom, baseball).
0.907::athleteplayssport(christymathewson, football).
0.9988::athleteplayssport(waldisjoaquin, baseball).
0.9375::athleteplayssport(charliezink, baseball).
0.9375::athleteplayssport(alexserrano, baseball).
0.907::athleteplayssport(reggienelson, football).
0.9994::athleteplayssport(esmerlingvasquez, baseball).
0.9977::athleteplayssport(trevorbell, baseball).
0.9375::athleteplayssport(andyoliver, baseball).
0.948::athleteplayssport(miller, basketball).
0.9375::athleteplayssport(burkebadenhop, baseball).
0.9109::athleteplayssport(tjford, basketball).
0.9375::athleteplayssport(krismedlen, baseball).
0.9375::athleteplayssport(clayzavada, baseball).
0.9843::athleteplayssport(georgecthomas, golf).
0.9998::athleteplayssport(williecollazo, baseball).
1.0::athleteplayssport(cmpunk, wrestling).
0.9375::athleteplayssport(dustinrichardson, baseball).
1.0::athleteplayssport(gerrycooney, boxing).
0.9687::athleteplayssport(cesarramos, baseball).
0.9375::athleteplayssport(jeffsuppan, baseball).
0.9375::athleteplayssport(danielmoskos, baseball).
1.0::athleteplayssport(kurtangle, wrestling).
0.9375::athleteplayssport(seantracey, baseball).
0.9687::athleteplayssport(justingermano, baseball).
1.0::athleteplayssport(jaredwells, baseball).
0.9994::athleteplayssport(jasonwaddell, baseball).
0.9375::athleteplayssport(josepaniagua, baseball).
0.9375::athleteplayssport(jenrrymejia, baseball).
0.9995::athleteplayssport(tonyclark, baseball).
0.9990::athleteplayssport(bradbergesen, baseball).
0.9988::athleteplayssport(dwaynewade, basketball).
0.9981::athleteplayssport(jordanzimmermann, baseball).
1.0::athleteplayssport(wladimirklitschko, boxing).
0.9963::athleteplayssport(francisleybueno, baseball).
0.9955::athleteplayssport(jonathonniese, baseball).
0.9994::athleteplayssport(wesleywright, baseball).
0.9981::athleteplayssport(alfredoaceves, baseball).
1.0::athleteplayssport(brianslocum, baseball).
0.9375::athleteplayssport(kaseykiker, baseball).
1.0::athleteplayssport(lennoxlewis, boxing).
0.9960::athleteplayssport(ccsabathia, baseball).
1.0::athleteplayssport(evanderholyfield, boxing).
0.9777::athleteplayssport(derrickturnbow, baseball).
0.9375::athleteplayssport(colterbean, baseball).
0.9977::athleteplayssport(jefffassero, baseball).
0.9988::athleteplayssport(leorosales, baseball).
0.9375::athleteplayssport(josephortiz, baseball).
1.0::athleteplayssport(joeystyles, wrestling).
1.0::athleteplayssport(waynegretzky, hockey).
0.9375::athleteplayssport(yannicknoah, tennis).
1.0::athleteplayssport(brocklesnar, wrestling).
0.907::athleteplayssport(favre, football).
0.9375::athleteplayssport(bobbyparnell, baseball).
0.9994::athleteplayssport(davidpatton, baseball).
0.9999::athleteplayssport(williams, tennis).
0.9687::athleteplayssport(peterthomson, golf).
0.9375::athleteplayssport(michaeloconnor, baseball).
0.907::athleteplayssport(richgannon, football).
0.9375::athleteplayssport(marwinvega, baseball).
0.907::athleteplayssport(derekhagan, football).
0.9375::athleteplayssport(mikeromano, baseball).
1.0::athleteplayssport(brianshackelford, baseball).
0.907::athleteplayssport(clintonportis, football).
0.9994::athleteplayssport(rafaelrodriguez, baseball).
0.9375::athleteplayssport(evanreed, baseball).
0.9375::athleteplayssport(adambernero, baseball).
0.9375::athleteplayssport(pepegancedo, golf).
0.907::athleteplayssport(jasonbrown, football).
0.9687::athleteplayssport(robinnelson, golf).
0.9997::athleteplayssport(justinverlander, baseball).
1.0::athleteplayssport(terrybradshaw, professionalfootball).
0.9375::athleteplayssport(devernhansack, baseball).
1.0::athleteplayssport(juanmanuelmarquez, boxing).
0.9375::athleteplayssport(clevelansanteliz, baseball).
0.9375::athleteplayssport(mattchilders, baseball).
0.9375::athleteplayssport(johngaub, baseball).
0.9871::athleteplayssport(sampras, tennis).
1.0::athleteplayssport(budnorris, baseball).
0.9375::athleteplayssport(donaldveal, baseball).
1.0::athleteplayssport(bernardhopkins, boxing).
1.0::athleteplayssport(erikmorales, boxing).
0.9999::athleteplayssport(anthonyswarzak, baseball).
0.948::athleteplayssport(dwighthoward, basketball).
0.9375::athleteplayssport(scottlewis, baseball).
0.9375::athleteplayssport(chriswithrow, baseball).
0.907::athleteplayssport(erniesims, football).
1.0::athleteplayssport(deionsanders, baseball).
0.963::athleteplayssport(anthonymorrow, basketball).
0.9375::athleteplayssport(denisgriffiths, golf).
0.9375::athleteplayssport(hectoralmonte, baseball).
0.9375::athleteplayssport(philstockman, baseball).
0.9375::athleteplayssport(brianmoran, baseball).
0.9981::athleteplayssport(dougslaten, baseball).
1.0::athleteplayssport(bigshow, wrestling).
0.9998::athleteplayssport(seveballesteros, golf).
0.9109::athleteplayssport(yaoming, basketball).
0.9375::athleteplayssport(benhoward, baseball).
1.0::athleteplayssport(jackiegayda, wrestling).
0.9375::athleteplayssport(jessefoppert, baseball).
0.9375::athleteplayssport(kazuofukumori, baseball).
1.0::athleteplayssport(brethart, wrestling).
0.907::athleteplayssport(salmaglie, football).
0.9687::athleteplayssport(johnlannan, baseball).
1.0::athleteplayssport(jesseenglish, baseball).
0.9685::athleteplayssport(joseceda, baseball).
1.0::athleteplayssport(tobistoner, baseball).
0.9687::athleteplayssport(maratsafin, tennis).
1.0::athleteplayssport(philmickelson, golf).
0.927::athleteplayssport(ryanperrilloux, football).
0.9375::athleteplayssport(alexperiard, baseball).
0.9555::athleteplayssport(stephonmarbury, basketball).
0.9999::athleteplayssport(fernandorodriguez, baseball).
0.9375::athleteplayssport(cedrickbowers, baseball).
1.0::athleteplayssport(caseyfossum, baseball).
1.0::athleteplayssport(tripleh, wrestling).
1.0::athleteplayssport(joecalzaghe, boxing).
0.9375::athleteplayssport(thomasmcbroom, golf).
0.9375::athleteplayssport(coreyyoung, baseball).
1.0::athleteplayssport(steveaustin, wrestling).
0.9999::athleteplayssport(denniseckersley, baseball).
0.9375::athleteplayssport(joselima, baseball).
0.9998::athleteplayssport(bradsalmon, baseball).
1.0::athleteplayssport(jaypowell, baseball).
0.9687::athleteplayssport(leetrevino, golf).
0.9375::athleteplayssport(juricksonprofar, baseball).
1.0::athleteplayssport(lancearmstrong, cycling).
0.9999::athleteplayssport(collinbalester, baseball).
1.0::athleteplayssport(therock, wrestling).
0.9375::athleteplayssport(justinjones, baseball).
0.9963::athleteplayssport(madisonbumgarner, baseball).
0.907::athleteplayssport(brees, football).
0.9997::athleteplayssport(brianduensing, baseball).
1.0::athleteplayssport(winkywright, boxing).
0.9981::athleteplayssport(carlosrosa, baseball).
0.9999::athleteplayssport(conorjackson, baseball).
1.0::athleteplayssport(shaironmartis, baseball).
1.0::athleteplayssport(jermaintaylor, boxing).
0.9375::athleteplayssport(joevalentine, baseball).
1.0::athleteplayssport(bobbykeppel, baseball).
0.9842::athleteplayssport(tomseaver, baseball).
0.9375::athleteplayssport(andycavazos, baseball).
1.0::athleteplayssport(andrewgolota, boxing).
0.9981::athleteplayssport(virgilvasquez, baseball).
0.9375::athleteplayssport(josemercedes, baseball).
0.907::athleteplayssport(markbrunell, football).
0.9687::athleteplayssport(keithfoster, golf).
1.0::athleteplayssport(lamontpeterson, boxing).
0.9375::athleteplayssport(devonlowery, baseball).
0.9375::athleteplayssport(toddredmond, baseball).
0.9375::athleteplayssport(timspooneybarger, baseball).
1.0::athleteplayssport(dennyneagle, baseball).
1.0::athleteplayssport(drewgooden, basketball).
1.0::athleteplayssport(kobebryant, basketball).
1.0::athleteplayssport(garymajewski, baseball).
0.9375::athleteplayssport(beltranperez, baseball).
0.907::athleteplayssport(devinhester, football).
1.0::athleteplayssport(antoniotarver, boxing).
0.9994::athleteplayssport(timwood, baseball).
1.0::athleteplayssport(robertoduran, boxing).
0.907::athleteplayssport(natedavis, football).
0.9988::athleteplayssport(kylernewby, baseball).
0.987::athleteplayssport(shaq, basketball).
1.0::athleteplayssport(hasimrahman, boxing).
0.9687::athleteplayssport(drewstoren, baseball).
0.9535::athleteplayssport(andrejohnson, football).
0.9375::athleteplayssport(kendalvolz, baseball).
0.9921::athleteplayssport(jasonfrasor, baseball).
0.9375::athleteplayssport(nickadenhart, baseball).
1.0::athleteplayssport(jimhoey, baseball).
0.9375::athleteplayssport(scottdohmann, baseball).
0.9375::athleteplayssport(docgooden, baseball).
0.9960::athleteplayssport(jorgedelarosa, baseball).
0.9375::athleteplayssport(richardgasquet, tennis).
0.9687::athleteplayssport(juancarlosferrero, tennis).
0.9375::athleteplayssport(kelvinpichardo, baseball).
1.0::athleteplayssport(bonds, baseball).
1.0::athleteplayssport(antoniomargarito, boxing).
0.9977::athleteplayssport(troypatton, baseball).
0.9981::athleteplayssport(jeffridgway, baseball).
0.9375::athleteplayssport(randywells, baseball).
1.0::athleteplayssport(ryansadowski, baseball).
0.9109::athleteplayssport(jermaineoneal, basketball).
1.0::athleteplayssport(sheltonbenjamin, wrestling).
0.9375::athleteplayssport(jimpalmer, baseball).
1.0::athleteplayssport(danielhudson, baseball).
0.948::athleteplayssport(shawnmarion, basketball).
0.9375::athleteplayssport(josesilva, baseball).
1.0::athleteplayssport(davidbeckham, soccer).
0.948::athleteplayssport(clydedrexler, basketball).
0.9994::athleteplayssport(anthonyortega, baseball).
0.907::athleteplayssport(deucelutui, football).
0.9375::athleteplayssport(dennistankersley, baseball).
1.0::athleteplayssport(edwinmoses, trackandfield).
0.907::athleteplayssport(rogershornsby, football).
0.9687::athleteplayssport(clark, golf).
1.0::athleteplayssport(hulkhogan, wrestling).
0.9375::athleteplayssport(narcisoelvira, baseball).
0.9375::athleteplayssport(jjputz, baseball).
0.9375::athleteplayssport(jasonwindsor, baseball).
0.9921::athleteplayssport(joeblanton, baseball).
0.9927::athleteplayssport(luisperdomo, baseball).
0.9375::athleteplayssport(darwincubillan, baseball).
0.9687::athleteplayssport(juangutierrez, baseball).
0.9999::athleteplayssport(markmelancon, baseball).
1.0::athleteplayssport(floydmayweatherjr, boxing).
0.9977::athleteplayssport(sammygervacio, baseball).
1.0::athleteplayssport(glenndavis, baseball).
0.9685::athleteplayssport(zito, baseball).
1.0::athleteplayssport(kevinpucetas, baseball).
0.971::athleteplayssport(bryanmorris, baseball).
0.9740::athleteplayssport(scottstevens, hockey).
1.0::athleteplayssport(georgeforeman, boxing).
0.9375::athleteplayssport(morganbrinson, baseball).
1.0::athleteplayssport(seanwest, baseball).
0.907::athleteplayssport(michaelbeasley, football).
0.9375::athleteplayssport(bobmccrory, baseball).
0.9375::athleteplayssport(jimmybarthmaier, baseball).
1.0::athleteplayssport(alfredofigaro, baseball).
0.907::athleteplayssport(steveyoung, football).
0.9687::athleteplayssport(henrybarrera, baseball).
0.9990::athleteplayssport(shannonstewart, baseball).
0.907::athleteplayssport(bobbycarpenter, football).
0.9977::athleteplayssport(brayanvillarreal, baseball).
0.9375::athleteplayssport(stephenrandolph, baseball).
0.9981::athleteplayssport(jeffsamardzija, baseball).
0.9687::athleteplayssport(abduljabbar, basketball).
0.9375::athleteplayssport(chrisbooker, baseball).
1.0::athleteplayssport(kellypavlik, boxing).
0.9375::athleteplayssport(levalespeigner, baseball).
0.9997::athleteplayssport(felipepaulino, baseball).
0.9375::athleteplayssport(mattalbers, baseball).
0.9375::athleteplayssport(valeriodelossantos, baseball).
0.9375::athleteplayssport(waynefranklin, baseball).
0.9375::athleteplayssport(matthewscherer, baseball).
0.9921::athleteplayssport(mikemussina, baseball).
0.9375::athleteplayssport(lorenzobarcelo, baseball).
0.9375::athleteplayssport(seansmith, baseball).
0.9999::athleteplayssport(donaldross, golf).
0.9685::athleteplayssport(uguethurbina, baseball).
0.9375::athleteplayssport(jeremypowell, baseball).
0.9846::athleteplayssport(fredcouples, golf).
1.0::athleteplayssport(stacykeibler, wrestling).
0.9997::athleteplayssport(bryanaugenstein, baseball).
0.9981::athleteplayssport(haydenpenn, baseball).
0.963::athleteplayssport(montaellis, basketball).
1.0::athleteplayssport(wilkincastillo, baseball).
0.9994::athleteplayssport(sosa, baseball).
0.9375::athleteplayssport(connorgraham, baseball).
0.9375::athleteplayssport(joshpapelbon, baseball).
0.9535::athleteplayssport(vinceyoung, football).
0.9687::athleteplayssport(felixdoubront, baseball).
0.9994::athleteplayssport(dirkhayhurst, baseball).
0.9375::athleteplayssport(claymortensen, baseball).
0.9977::athleteplayssport(tomoohka, baseball).
0.907::athleteplayssport(chrishenry, football).
0.9375::athleteplayssport(williamfbell, golf).
1.0::athleteplayssport(donnieveal, baseball).
0.9375::athleteplayssport(petermatkovitch, golf).
1.0::athleteplayssport(bobbyjenks, baseball).
0.9535::athleteplayssport(quarterbackbrettfavre, football).
0.907::athleteplayssport(bengraham, football).
0.9987::athleteplayssport(maxscherzer, baseball).
0.9994::athleteplayssport(bradkilby, baseball).
0.9920::athleteplayssport(andruwjones, baseball).
1.0::athleteplayssport(chrismasters, wrestling).
0.9375::athleteplayssport(hectormercado, baseball).
0.9109::athleteplayssport(andreiguodala, basketball).
0.9842::athleteplayssport(peavy, baseball).
0.9921::athleteplayssport(daisukematsuzaka, baseball).
0.9375::athleteplayssport(henrysosa, baseball).
0.9375::athleteplayssport(omaraguilar, baseball).
1.0::athleteplayssport(floydmayweather, boxing).
1.0::athleteplayssport(chriswaters, baseball).
0.9980::athleteplayssport(majorleaguebaseballmostvaluableplayeraward, baseball).
0.9375::athleteplayssport(arturolopez, baseball).
0.9375::athleteplayssport(carlosguevara, baseball).
0.907::athleteplayssport(ronniebrown, football).
0.9999::athleteplayssport(ianstewart, baseball).
0.9994::athleteplayssport(danielrayherrera, baseball).
0.9375::athleteplayssport(ezequielastacio, baseball).
1.0::athleteplayssport(juandiaz, boxing).
0.987::athleteplayssport(shaqoneal, basketball).
0.9980::athleteplayssport(eddiehackett, golf).
0.9375::athleteplayssport(wilfridoperez, baseball).
1.0::athleteplayssport(nadal, tennis).
0.9375::athleteplayssport(cesarvaldez, baseball).
0.9999::athleteplayssport(guillermoquiroz, baseball).
0.9375::athleteplayssport(jeremyjeffress, baseball).
0.9994::athleteplayssport(kentakahashi, baseball).
1.0::athleteplayssport(eulogiodelacruz, baseball).
0.9109::athleteplayssport(walterpayton, hockey).
0.998::athleteplayssport(mattwhite, baseball).
0.9375::athleteplayssport(jakewoods, baseball).
0.9375::athleteplayssport(franciscocruceta, baseball).
0.9535::athleteplayssport(terrellowens, football).
0.9375::athleteplayssport(connorrobertson, baseball).
0.907::athleteplayssport(fredlewis, football).

0.9998::teamalsoknownas(bowlinggreenstate, stateuniversity).
0.9375::teamalsoknownas(hongkongpolytechnic, stateuniversity).
0.9999::teamalsoknownas(iowastatecyclonesbasketball, stateuniversity).
0.9687::teamalsoknownas(floridaatlanticuniversity, stateuniversity).
0.9375::teamalsoknownas(bemidjistatebeavers, stateuniversity).
0.9375::teamalsoknownas(californiastateuniversity, stateuniversity).
0.9999::teamalsoknownas(montanastateuniversity, stateuniversity).
0.9960::teamalsoknownas(eastmanschoolofmusic, stateuniversity).
1.0::teamalsoknownas(iowastate, stateuniversity).
0.9999::teamalsoknownas(washingtonstate, stateuniversity).
1.0::teamalsoknownas(bclions, edmontoneskimos).
0.9980::teamalsoknownas(idahostateuniversity, stateuniversity).
0.9375::teamalsoknownas(westminstercollege, stateuniversity).
0.9375::teamalsoknownas(brooklyncollege, stateuniversity).
1.0::teamalsoknownas(chicagocubsbaseball, cubbies).
0.9687::teamalsoknownas(radforduniversity, stateuniversity).
1.0::teamalsoknownas(redsox, oldetowneteam).
0.9921::teamalsoknownas(cardinals, baltimorecolts).
0.9375::teamalsoknownas(cardinals, newyorkjets).
0.9960::teamalsoknownas(jamesmadison, stateuniversity).
0.9990::teamalsoknownas(portlandstateuniversity, stateuniversity).
0.9999::teamalsoknownas(sanjosestatespartans, stateuniversity).
0.9999::teamalsoknownas(baylorbears, stateuniversity).
0.9960::teamalsoknownas(humboldtstate, stateuniversity).
0.9375::teamalsoknownas(macalestercollege, stateuniversity).
1.0::teamalsoknownas(buckeyes, spartans).
0.9990::teamalsoknownas(templeuniversity, stateuniversity).
0.9999::teamalsoknownas(bradkeselowkski, trevorbayne).
0.9999::teamalsoknownas(iowastatecyclones, stateuniversity).
0.9980::teamalsoknownas(thepennsylvaniastateuniversity, college).
0.9999::teamalsoknownas(michiganstateuniversity, stateuniversity).
0.9999::teamalsoknownas(baylorbearsbasketball, stateuniversity).
0.9687::teamalsoknownas(villanovauniversity, stateuniversity).
1.0::teamalsoknownas(tarheels, unctarheels).
0.9375::teamalsoknownas(northwooduniversity, stateuniversity).
0.9999::teamalsoknownas(redraiders, stateuniversity).
0.9999::teamalsoknownas(maryland, stateuniversity).
1.0::teamalsoknownas(bostoncollege, stateuniversity).
0.9687::teamalsoknownas(northernkentuckyuniversity, stateuniversity).
0.9999::teamalsoknownas(acmilan, benfica).
0.9375::teamalsoknownas(seahawks, pittsburghsteelerssunday).
0.9375::teamalsoknownas(seahawks, bears).
0.9375::teamalsoknownas(seahawks, packers).
0.9375::teamalsoknownas(seahawks, cardinals).
0.9375::teamalsoknownas(kalamazoocollege, stateuniversity).
0.9687::teamalsoknownas(lakesuperiorstateuniversity, stateuniversity).
0.9375::teamalsoknownas(mountolivecollege, stateuniversity).
0.9999::teamalsoknownas(indianauniversity, stateuniversity).
0.9960::teamalsoknownas(easternmichiganuniversity, stateuniversity).
0.9375::teamalsoknownas(ashlanduniversity, stateuniversity).
0.9375::teamalsoknownas(dickinsoncollege, stateuniversity).
0.9999::teamalsoknownas(pennstatenittanylionsbasketball, stateuniversity).
0.9999::teamalsoknownas(waynestateuniversity, stateuniversity).
0.9999::teamalsoknownas(brazil, germany).
0.9687::teamalsoknownas(antiochcollege, stateuniversity).
0.9687::teamalsoknownas(bears, eagles).
0.9375::teamalsoknownas(bears, seahawks).
0.9999::teamalsoknownas(utahstateaggies, stateuniversity).
0.9999::teamalsoknownas(chelsea, liverpooljohnmooresuniversity).
0.9999::teamalsoknownas(chelsea, liverpooluniversity).
0.9999::teamalsoknownas(utahstateuniversity, stateuniversity).
0.9921::teamalsoknownas(kansasuniversitymedicalschool, stateuniversity).
0.9687::teamalsoknownas(usdaars, stateuniversity).
0.9687::teamalsoknownas(huntercollege, stateuniversity).
0.9980::teamalsoknownas(akron, stateuniversity).
0.9687::teamalsoknownas(virginiapolytechnicinstitute, stateuniversity).
0.9999::teamalsoknownas(middletennesseestateuniversity, stateuniversity).
0.9375::teamalsoknownas(northwesternstate, stateuniversity).
0.9980::teamalsoknownas(sanfranciscostate, stateuniversity).
0.9375::teamalsoknownas(wakeforestuniversityschoolofmedicine, stateuniversity).
0.9687::teamalsoknownas(oklahomastateuniversity, stateuniversities).
1.0::teamalsoknownas(oklahomastateuniversity, stateuniversity).
1.0::teamalsoknownas(edmontoneskimos, bclions).
0.9999::teamalsoknownas(huskers, stateuniversity).
0.9843::teamalsoknownas(bradleyuniversity, stateuniversity).
0.9980::teamalsoknownas(northcarolinacentraluniversity, stateuniversity).
0.9375::teamalsoknownas(aquinascollege, stateuniversity).
0.9687::teamalsoknownas(westerncarolinacatamount, stateuniversity).
0.9687::teamalsoknownas(southdakotastateuniversity, stateuniversity).
0.9921::teamalsoknownas(wakeforestuniversity, stateuniversity).
0.9921::teamalsoknownas(bayloruniversity, stateuniversity).
0.9999::teamalsoknownas(northwesternstateladydemons, stateuniversity).
0.9843::teamalsoknownas(michiganstatespartansmensbasketball, stateuniversities).
0.9999::teamalsoknownas(michiganstatespartansmensbasketball, stateuniversity).
1.0::teamalsoknownas(spartans, buckeyes).
0.9375::teamalsoknownas(virginiastateuniversity, stateuniversity).
0.9999::teamalsoknownas(olemiss, stateuniversity).
0.9375::teamalsoknownas(murraystate, stateuniversity).
0.9687::teamalsoknownas(southwestmissouristateuniversity, stateuniversity).
0.9921::teamalsoknownas(packers, seahawks).
0.9375::teamalsoknownas(packers, falcons).
0.9999::teamalsoknownas(newmexicostateuniversity, stateuniversity).
0.9375::teamalsoknownas(hamptonuniversity, stateuniversity).
0.9843::teamalsoknownas(westerncarolinauniversity, stateuniversity).
0.9995::teamalsoknownas(emoryuniversity, stateuniversity).
0.9843::teamalsoknownas(loyolamarymount, stateuniversity).
0.9999::teamalsoknownas(seminoles, stateuniversity).
0.9375::teamalsoknownas(harvard, stateuniversities).
0.9990::teamalsoknownas(clemsonuniversity, stateuniversity).
0.9375::teamalsoknownas(trumanstateuniversity, stateuniversity).
0.9960::teamalsoknownas(dakotastateuniversity, stateuniversity).
1.0::teamalsoknownas(whitesox, pittsburghpirates).
0.9997::teamalsoknownas(southdakotastate, stateuniversity).
0.9999::teamalsoknownas(montanastatebobcats, ohiostatebuckeyes).
1.0::teamalsoknownas(texaschristianuniversity, stateuniversity).
0.9999::teamalsoknownas(coloradostateuniversity, stateuniversity).
1.0::teamalsoknownas(baylorwomen, stateuniversity).
0.9687::teamalsoknownas(pepperdineuniversity, stateuniversity).
0.9999::teamalsoknownas(boisest, stateuniversity).
0.9375::teamalsoknownas(jacksonstateuniversity, stateuniversity).
