,Entity,Iteration,Probability,Relation,Value
4062,concept:personmexico:ben_gordon,850,1.0,concept:athletehomestadium,concept:stadiumoreventvenue:united_memorial_medical_center
4063,concept:personmexico:ben_gordon,850,0.9986519884327569,concept:athleteledsportsteam,concept:sportsteam:texas_rangers
4064,concept:personmexico:ben_gordon,850,0.984375,concept:athleteplaysforteam,concept:sportsteam:cleveland_browns
4065,concept:personmexico:ben_gordon,850,0.9375,concept:athleteplaysinleague,concept:sportsleague:mlb
4066,concept:personmexico:ben_gordon,850,0.9993046875,concept:athleteplayssport,concept:sport:baseball
4067,concept:personmexico:ben_gordon,850,0.96875,concept:athleteplayssportsteamposition,concept:sportsteamposition:player
4068,concept:personmexico:ben_gordon,850,0.9375,concept:coachesinleague,concept:sportsleague:nfl
4069,concept:athlete:laurence_maroney,850,0.99609375,concept:athleteplaysforteam,concept:sportsteam:new_england_patriots
4070,concept:athlete:laurence_maroney,850,0.944,concept:athleteplaysinleague,concept:sportsleague:nfl
4071,concept:athlete:laurence_maroney,850,0.907,concept:athleteplayssport,concept:sport:football
4072,concept:personmexico:chris_sampson,850,0.9845,concept:athleteplaysinleague,concept:sportsleague:mlb
4073,concept:personmexico:chris_sampson,850,0.9960625,concept:athleteplayssport,concept:sport:baseball
4074,concept:athlete:jeff_francis,850,0.984375,concept:athleteplaysforteam,concept:sportsteam:rockies
4075,concept:athlete:jeff_francis,850,0.9975625,concept:athleteplaysinleague,concept:sportsleague:mlb
4076,concept:athlete:jeff_francis,850,0.992125,concept:athleteplayssport,concept:sport:baseball
4077,concept:athlete:rafael_perez,850,0.984375,concept:athleteplaysinleague,concept:sportsleague:mlb
4078,concept:athlete:rafael_perez,850,0.99878125,concept:athleteplayssport,concept:sport:baseball
4079,concept:athlete:rondell_white,850,0.9795,concept:athleteplaysinleague,concept:sportsleague:mlb
4080,concept:athlete:rondell_white,850,0.98425,concept:athleteplayssport,concept:sport:baseball
4081,concept:athlete:chad_orvella,850,0.9375,concept:athleteplayssport,concept:sport:baseball
4082,concept:athlete:deion_sanders,850,1.0,concept:athleteplayssport,concept:sport:baseball
4083,concept:athlete:koji_uehara,850,0.9994375,concept:athleteplayssport,concept:sport:baseball
4084,concept:athlete:mike_dunleavy,850,0.96875,concept:athleteledsportsteam,concept:sportsteam:indiana_pacers
4085,concept:athlete:mike_dunleavy,850,0.99609375,concept:athleteplaysforteam,concept:sportsteam:indiana_pacers
4086,concept:athlete:mike_dunleavy,850,0.96875,concept:coachesteam,concept:sportsteam:clippers
4087,concept:athlete:aj_burnett,850,0.999004523369561,concept:athleteplaysforteam,concept:sportsteam:blue_jays
4088,concept:athlete:aj_burnett,850,0.99675,concept:athleteplaysinleague,concept:sportsleague:mlb
4089,concept:athlete:aj_burnett,850,0.9960625,concept:athleteplayssport,concept:sport:baseball
4090,concept:athlete:scott_linebrink,850,0.99675,concept:athleteplaysinleague,concept:sportsleague:mlb
4091,concept:athlete:scott_linebrink,850,0.9960625,concept:athleteplayssport,concept:sport:baseball
4092,concept:coach:john_elway,850,0.991,concept:athleteplayssport,concept:sport:football
4093,concept:athlete:noah_lowry,850,0.99275,concept:athleteplayssport,concept:sport:baseball
4094,concept:athlete:michael_young,850,0.998046875,concept:athleteplaysforteam,concept:sportsteam:rangers
4095,concept:athlete:michael_young,850,0.902,concept:athleteplaysinleague,concept:sportsleague:nhl
4096,concept:athlete:michael_young,850,0.97,concept:athleteplayssport,concept:sport:hockey
4097,concept:athlete:jhoulys_chacin,850,0.99971875,concept:athleteplayssport,concept:sport:baseball
4098,concept:athlete:carlos_martinez,850,0.9375,concept:athleteplayssport,concept:sport:baseball
4099,concept:athlete:jae_kuk_ryu,850,1.0,concept:athleteplayssport,concept:sport:baseball
4100,concept:athlete:gaylord_perry,850,0.9670000000000001,concept:athleteplaysinleague,concept:sportsleague:mlb
4101,concept:athlete:gaylord_perry,850,0.9685,concept:athleteplayssport,concept:sport:baseball
4102,concept:athlete:ricky_nolasco,850,0.9805,concept:athleteplaysinleague,concept:sportsleague:mlb
4103,concept:athlete:ricky_nolasco,850,0.9960625,concept:athleteplayssport,concept:sport:baseball
4104,concept:athlete:jannero_pargo,850,1.0,concept:athleteplaysinleague,concept:sportsleague:nba
4105,concept:coach:olmedo_saenz,850,0.9375,concept:athleteplaysforteam,concept:sportsteam:dodgers
4106,concept:athlete:ryan_sweeney,850,0.996375,concept:athleteplayssport,concept:sport:baseball
4107,concept:athlete:jon_adkins,850,1.0,concept:athleteplayssport,concept:sport:baseball
4108,concept:athlete:yasuhiko_yabuta,850,0.998875,concept:athleteplayssport,concept:sport:baseball
4109,concept:athlete:mitch_williams,850,0.987,concept:athleteplaysinleague,concept:sportsleague:mlb
4110,concept:athlete:mitch_williams,850,0.9555,concept:athleteplayssport,concept:sport:baseball
4111,concept:athlete:edwar_ramirez,850,0.987,concept:athleteplaysinleague,concept:sportsleague:mlb
4112,concept:athlete:edwar_ramirez,850,0.9685,concept:athleteplayssport,concept:sport:baseball
4113,concept:personmexico:prince_fielder,850,0.9375,concept:athleteplaysforteam,concept:sportsteam:milwaukee_brewers
4114,concept:personmexico:prince_fielder,850,0.9974375,concept:athleteplaysinleague,concept:sportsleague:mlb
4115,concept:personmexico:prince_fielder,850,0.98425,concept:athleteplayssport,concept:sport:baseball
4116,concept:athlete:jason_kidd,850,0.99993896484375,concept:athleteplaysforteam,concept:sportsteam:nets
4117,concept:athlete:jason_kidd,850,1.0,concept:athleteplaysinleague,concept:sportsleague:nba
4118,concept:athlete:jason_kidd,850,0.911,concept:athleteplayssport,concept:sport:basketball
4119,concept:athlete:ron_mahay,850,0.9375,concept:athleteplayssport,concept:sport:baseball
4120,concept:athlete:tony_gonzalez,850,0.96875,concept:athleteplaysforteam,concept:sportsteam:kansas_city_chiefs
4121,concept:athlete:jesse_orosco,850,0.99025,concept:athleteplaysinleague,concept:sportsleague:mlb
4122,concept:athlete:jesse_orosco,850,0.937,concept:athleteplayssport,concept:sport:baseball
4123,concept:athlete:jeff_mcinnis,850,1.0,concept:athleteplaysinleague,concept:sportsleague:nba
4124,concept:athlete:sandy_koufax,850,0.9999932762338988,concept:athleteplaysforteam,concept:sportsteam:dodgers
4125,concept:athlete:sandy_koufax,850,0.902,concept:athleteplaysinleague,concept:sportsleague:mlb
4126,concept:athlete:sandy_koufax,850,1.0,concept:athleteplayssport,concept:sport:baseball
4127,concept:athlete:emil_brown,850,1.0,concept:athleteplayssport,concept:sport:baseball
4128,concept:coach:ryan_ludwick,850,0.948,concept:athleteplaysinleague,concept:sportsleague:nfl
4129,concept:coach:ryan_ludwick,850,0.911,concept:athleteplayssport,concept:sport:football
4130,concept:athlete:joe_montana,850,0.982,concept:athleteplayssport,concept:sport:football
4131,concept:athlete:joe_montana,608,0.96875,concept:athleteplayssportsteamposition,concept:sportsteamposition:player
4132,concept:athlete:michael_vick,850,0.9990234375,concept:athleteledsportsteam,concept:sportsteam:falcons
4133,concept:athlete:michael_vick,850,0.9999980926513672,concept:athleteplaysforteam,concept:sportsteam:falcons
4134,concept:athlete:michael_vick,850,0.98975,concept:athleteplaysinleague,concept:sportsleague:nfl
4135,concept:athlete:michael_vick,850,0.9535,concept:athleteplayssport,concept:sport:football
4136,concept:athlete:michael_vick,850,1.0,concept:athleteplayssportsteamposition,concept:sportsteamposition:running_back
4137,concept:athlete:michael_vick,850,0.9921875,concept:athleteplayssportsteamposition,concept:sportsteamposition:player
4138,concept:athlete:tom_mastny,850,1.0,concept:athleteplayssport,concept:sport:baseball
4139,concept:athlete:phil_simms,850,0.984375,concept:athleteplaysforteam,concept:sportsteam:ny_giants
4140,concept:athlete:phil_simms,850,0.902,concept:athleteplaysinleague,concept:sportsleague:nfl
4141,concept:athlete:phil_simms,850,0.907,concept:athleteplayssport,concept:sport:football
4142,concept:athlete:jonathan_huber,850,0.96875,concept:athleteplayssport,concept:sport:baseball
4143,concept:athlete:manuel_corpas,850,1.0,concept:athleteplayssport,concept:sport:baseball
4144,concept:athlete:carlos_fisher,850,0.9375,concept:athleteplaysinleague,concept:sportsleague:mlb
4145,concept:athlete:carlos_fisher,850,0.9994375,concept:athleteplayssport,concept:sport:baseball
4146,concept:athlete:robert_nilsson,850,0.984375,concept:athleteplaysforteam,concept:sportsteam:oilers
4147,concept:athlete:yuniesky_betancourt,850,0.9375,concept:athleteplaysforteam,concept:sportsteam:seattle_mariners
4148,concept:athlete:yuniesky_betancourt,850,0.98775,concept:athleteplaysinleague,concept:sportsleague:mlb
4149,concept:athlete:yuniesky_betancourt,850,0.98425,concept:athleteplayssport,concept:sport:baseball
4150,concept:athlete:ryan_malone,850,0.998046875,concept:athleteplaysforteam,concept:sportsteam:tampa
4151,concept:athlete:bill_mazeroski,850,0.9670000000000001,concept:athleteplaysinleague,concept:sportsleague:mlb
4152,concept:athlete:bill_mazeroski,850,0.937,concept:athleteplayssport,concept:sport:baseball
4153,concept:personmexico:john_brady,850,0.96875,concept:coachesteam,concept:sportsteam:lsu
4154,concept:athlete:chris_resop,850,0.9375,concept:athleteplaysinleague,concept:sportsleague:mlb
4155,concept:athlete:chris_resop,850,0.984375,concept:athleteplayssport,concept:sport:baseball
4156,concept:athlete:craig_hansen,850,0.974,concept:athleteplaysinleague,concept:sportsleague:mlb
4157,concept:athlete:craig_hansen,850,0.9960625,concept:athleteplayssport,concept:sport:baseball
4158,concept:athlete:cory_doyne,850,0.9375,concept:athleteplayssport,concept:sport:baseball
4159,concept:athlete:gordon_beckham,850,1.0,concept:athleteplayssport,concept:sport:baseball
4160,concept:athlete:carlos_silva,850,1.0,concept:athleteplayssport,concept:sport:baseball
4161,concept:athlete:ryan_raburn,850,0.998875,concept:athleteplayssport,concept:sport:baseball
4162,concept:personmexico:jason_frasor,850,0.9935,concept:athleteplaysinleague,concept:sportsleague:mlb
4163,concept:personmexico:jason_frasor,850,0.992125,concept:athleteplayssport,concept:sport:baseball
4164,concept:athlete:kevin_gregg,850,0.99675,concept:athleteplaysinleague,concept:sportsleague:mlb
4165,concept:athlete:kevin_gregg,850,0.9960625,concept:athleteplayssport,concept:sport:baseball
4166,concept:coach:geoff_jenkins,850,0.96875,concept:athleteplaysforteam,concept:sportsteam:phillies
4167,concept:coach:geoff_jenkins,850,0.974,concept:athleteplaysinleague,concept:sportsleague:mlb
4168,concept:coach:geoff_jenkins,850,0.9685,concept:athleteplayssport,concept:sport:baseball
4169,concept:athlete:jason_wright,850,0.959,concept:athleteplaysinleague,concept:sportsleague:nfl
4170,concept:athlete:jason_wright,850,0.907,concept:athleteplayssport,concept:sport:football
4171,concept:athlete:pedro_feliz,850,0.987,concept:athleteplaysinleague,concept:sportsleague:mlb
4172,concept:athlete:pedro_feliz,850,0.98425,concept:athleteplayssport,concept:sport:baseball
4173,concept:coach:jose_ceda,850,0.993,concept:athleteplaysinleague,concept:sportsleague:mlb
4174,concept:coach:jose_ceda,850,0.9685,concept:athleteplayssport,concept:sport:baseball
4175,concept:athlete:jason_grimsley,850,0.9995,concept:athleteplayssport,concept:sport:baseball
4176,concept:athlete:logan_kensing,850,0.974,concept:athleteplaysinleague,concept:sportsleague:mlb
4177,concept:athlete:logan_kensing,850,0.992125,concept:athleteplayssport,concept:sport:baseball
4178,concept:coach:joe_sakic,850,0.9921875,concept:athleteplaysforteam,concept:sportsteam:colorado_avalanche
4179,concept:coach:joe_sakic,850,0.9510000000000001,concept:athleteplaysinleague,concept:sportsleague:nhl
4180,concept:coach:joe_sakic,850,0.9359999999999999,concept:athleteplayssport,concept:sport:hockey
4181,concept:athlete:zach_thomas,835,1.0,concept:athleteinjuredhisbodypart,concept:artery:shoulder
4182,concept:personmexico:brian_giles,850,0.9375,concept:athleteledsportsteam,concept:sportsteam:padres
4183,concept:personmexico:brian_giles,850,0.99609375,concept:athleteplaysforteam,concept:sportsteam:padres
4184,concept:personmexico:brian_giles,850,0.98975,concept:athleteplaysinleague,concept:sportsleague:mlb
4185,concept:personmexico:brian_giles,850,0.9685,concept:athleteplayssport,concept:sport:baseball
4186,concept:personmexico:manny_delcarmen,850,0.9375,concept:athleteplayssport,concept:sport:baseball
4187,concept:athlete:eric_o_flaherty,850,0.9375,concept:athleteplayssport,concept:sport:baseball
4188,concept:personmexico:jake_westbrook,850,0.98325,concept:athleteplaysinleague,concept:sportsleague:mlb
4189,concept:personmexico:jake_westbrook,850,0.9960625,concept:athleteplayssport,concept:sport:baseball
4190,concept:athlete:warner_madrigal,850,0.998875,concept:athleteplayssport,concept:sport:baseball
4191,concept:athlete:scott_rolen,850,0.994875,concept:athleteplaysinleague,concept:sportsleague:mlb
4192,concept:athlete:scott_rolen,850,0.98425,concept:athleteplayssport,concept:sport:baseball
4193,concept:athlete:ladainian_tomlinson,850,0.9995900145360994,concept:athleteplaysforteam,concept:sportsteam:chargers
4194,concept:athlete:ladainian_tomlinson,850,1.0,concept:athleteplayssportsteamposition,concept:sportsteamposition:running_back
4195,concept:athlete:ladainian_tomlinson,850,0.96875,concept:athleteplayssportsteamposition,concept:sportsteamposition:player
4196,concept:coach:david_robinson,850,0.902,concept:athleteplaysinleague,concept:sportsleague:nba
4197,concept:coach:david_robinson,850,0.911,concept:athleteplayssport,concept:sport:basketball
4198,concept:personmexico:alex_serrano,850,0.9375,concept:athleteplayssport,concept:sport:baseball
4199,concept:athlete:tony_gwynn,850,0.9375,concept:athleteplaysforteam,concept:sportsteam:padres
4200,concept:athlete:tony_gwynn,850,0.9510000000000001,concept:athleteplaysinleague,concept:sportsleague:mlb
4201,concept:athlete:tony_gwynn,850,0.98425,concept:athleteplayssport,concept:sport:baseball
4202,concept:personmexico:chad_gaudin,850,0.9375,concept:athleteplayssport,concept:sport:baseball
4203,concept:athlete:steve_kline,850,0.9999799106310077,concept:athleteplayssport,concept:sport:baseball
4204,concept:athlete:byron_leftwich,850,0.9375,concept:athleteplaysforteam,concept:sportsteam:jacksonville_jaguars
4205,concept:athlete:ahmad_bradshaw,850,0.9375,concept:athleteplaysforteam,concept:sportsteam:ny_giants
4206,concept:personmexico:al_harrington,850,1.0,concept:athleteledsportsteam,concept:sportsteam:knicks
4207,concept:personmexico:al_harrington,850,1.0,concept:athleteplaysforteam,concept:sportsteam:knicks
4208,concept:personmexico:al_harrington,850,1.0,concept:athleteplaysinleague,concept:sportsleague:nba
4209,concept:personmexico:al_harrington,850,1.0,concept:athleteplayssport,concept:sport:baseball
4210,concept:personmexico:ronny_paulino,850,0.984375,concept:athleteplaysforteam,concept:sportsteam:pirates
4211,concept:personmexico:ronny_paulino,850,0.98775,concept:athleteplaysinleague,concept:sportsleague:mlb
4212,concept:personmexico:ronny_paulino,850,0.98425,concept:athleteplayssport,concept:sport:baseball
4213,concept:athlete:chris_lambert,850,0.948,concept:athleteplaysinleague,concept:sportsleague:mlb
4214,concept:athlete:chris_lambert,850,0.992125,concept:athleteplayssport,concept:sport:baseball
4215,concept:athlete:nolan_ryan,850,0.96875,concept:athleteplaysforteam,concept:sportsteam:new_york_mets
4216,concept:athlete:nolan_ryan,850,0.9835,concept:athleteplaysinleague,concept:sportsleague:mlb
4217,concept:athlete:nolan_ryan,850,0.992125,concept:athleteplayssport,concept:sport:baseball
4218,concept:athlete:mark_derosa,850,0.999755859375,concept:athleteplaysforteam,concept:sportsteam:cubs
4219,concept:athlete:mark_derosa,850,0.99871875,concept:athleteplaysinleague,concept:sportsleague:mlb
4220,concept:athlete:mark_derosa,850,0.98425,concept:athleteplayssport,concept:sport:baseball
4221,concept:athlete:damion_easley,850,0.98675,concept:athleteplaysinleague,concept:sportsleague:mlb
4222,concept:athlete:damion_easley,850,0.97775,concept:athleteplayssport,concept:sport:baseball
4223,concept:athlete:ben_green,850,1.0,concept:athleteinjuredhisbodypart,concept:artery:shoulder
4224,concept:athlete:ben_green,850,1.0,concept:athleteinjuredhisbodypart,concept:nerve:elbow
4225,concept:athlete:ben_green,850,0.9999999999999432,concept:athleteinjuredhisbodypart,concept:artery:hand
4226,concept:athlete:ben_green,850,0.9999999850988388,concept:athleteinjuredhisbodypart,concept:bodypart:hands
4227,concept:athlete:ben_green,850,0.9998779296875,concept:athleteinjuredhisbodypart,concept:braintissue:son
4228,concept:athlete:ben_green,850,0.999755859375,concept:athleteinjuredhisbodypart,concept:artery:arm
4229,concept:athlete:ben_green,850,0.984375,concept:athleteinjuredhisbodypart,concept:bone:arms
4230,concept:athlete:ben_green,850,0.9375,concept:athleteinjuredhisbodypart,concept:bodypart:shoulders
4231,concept:athlete:ben_green,850,0.9375,concept:athleteinjuredhisbodypart,concept:bone:fingers
4232,concept:athlete:ben_green,850,0.9995418113339591,concept:athleteinjuredhisbodypart,concept:bone:knee
4233,concept:athlete:ben_green,850,0.96875,concept:athleteplayssportsteamposition,concept:sportsteamposition:center
4234,concept:athlete:ben_green,850,0.9999999999862318,concept:teammate,concept:athlete:santonio_holmes
4235,concept:athlete:ben_green,850,0.9375,concept:teammate,concept:personmexico:jay_pandolfo
4236,concept:athlete:josh_roenicke,850,0.99775,concept:athleteplayssport,concept:sport:baseball
4237,concept:athlete:luis_vizcaino,850,1.0,concept:athleteplayssport,concept:sport:baseball
4238,concept:athlete:peter_moylan,850,0.9935,concept:athleteplaysinleague,concept:sportsleague:mlb
4239,concept:athlete:peter_moylan,850,0.9960625,concept:athleteplayssport,concept:sport:baseball
4240,concept:athlete:doug_mathis,850,1.0,concept:athleteplayssport,concept:sport:baseball
4241,concept:athlete:joakim_soria,850,0.9865,concept:athleteplaysinleague,concept:sportsleague:mlb
4242,concept:athlete:joakim_soria,850,0.99721875,concept:athleteplayssport,concept:sport:baseball
4243,concept:athlete:bucky_dent,850,0.972,concept:athleteplaysinleague,concept:sportsleague:mlb
4244,concept:athlete:jarrod_washburn,850,0.9375,concept:athleteplaysforteam,concept:sportsteam:seattle_mariners
4245,concept:athlete:jarrod_washburn,850,0.98775,concept:athleteplaysinleague,concept:sportsleague:mlb
4246,concept:athlete:jarrod_washburn,850,0.992125,concept:athleteplayssport,concept:sport:baseball
4247,concept:athlete:jeff_salazar,850,0.99775,concept:athleteplayssport,concept:sport:baseball
4248,concept:athlete:john_olerud,850,0.959,concept:athleteplaysinleague,concept:sportsleague:major_league_baseball
4249,concept:athlete:john_olerud,850,0.9835,concept:athleteplayssport,concept:sport:baseball
4250,concept:personmexico:john_tyler,850,0.9981875,concept:athleteplayssport,concept:sport:baseball
4251,concept:athlete:billy_wagner,850,0.98675,concept:athleteplaysinleague,concept:sportsleague:mlb
4252,concept:athlete:billy_wagner,850,0.9960625,concept:athleteplayssport,concept:sport:baseball
4253,concept:athlete:jared_reiner,850,1.0,concept:athleteplaysinleague,concept:sportsleague:nba
4254,concept:athlete:victor_martinez,850,0.998875,concept:athleteplayssport,concept:sport:baseball
4255,concept:athlete:wade_leblanc,850,0.99275,concept:athleteplayssport,concept:sport:baseball
4256,concept:athlete:c_c__sabathia,850,0.96875,concept:athleteledsportsteam,concept:sportsteam:milwaukee_brewers
4257,concept:athlete:c_c__sabathia,850,0.9999508127393479,concept:athleteplaysforteam,concept:sportsteam:milwaukee_brewers
4258,concept:athlete:c_c__sabathia,850,0.99984075,concept:athleteplaysinleague,concept:sportsleague:mlb
4259,concept:athlete:c_c__sabathia,850,0.99987596875,concept:athleteplayssport,concept:sport:baseball
4260,concept:athlete:c_c__sabathia,850,1.0,concept:athletewinsawardtrophytournament,concept:awardtrophytournament:world_series
4261,concept:athlete:eddie_kunz,850,0.99775,concept:athleteplayssport,concept:sport:baseball
4262,concept:athlete:luke_hudson,850,0.98675,concept:athleteplaysinleague,concept:sportsleague:mlb
4263,concept:athlete:luke_hudson,850,0.9685,concept:athleteplayssport,concept:sport:baseball
4264,concept:athlete:mike_parisi,850,0.9375,concept:athleteplayssport,concept:sport:baseball
4265,concept:athlete:jay_powell,850,1.0,concept:athleteplayssport,concept:sport:baseball
4266,concept:athlete:curtis_granderson,850,0.999969482421875,concept:athleteplaysforteam,concept:sportsteam:philadelphia_flyers
4267,concept:athlete:curtis_granderson,850,0.9969375,concept:athleteplaysinleague,concept:sportsleague:mlb
4268,concept:athlete:curtis_granderson,850,0.98425,concept:athleteplayssport,concept:sport:baseball
4269,concept:athlete:curtis_granderson,850,0.9375,concept:teammate,concept:athlete:rick_nash
4270,concept:athlete:matt_leinart,850,0.941,concept:athleteplaysinleague,concept:sportsleague:nfl
4271,concept:athlete:matt_leinart,850,0.911,concept:athleteplayssport,concept:sport:golf
4272,concept:athlete:franklin_morales,850,0.9981875,concept:athleteplayssport,concept:sport:baseball
4273,concept:athlete:rob_bell,850,0.9375,concept:athleteplayssport,concept:sport:baseball
4274,concept:coach:ryan_kesler,850,0.984375,concept:athleteplaysforteam,concept:sportsteam:vancouver_canucks
4275,concept:athlete:paul_lo_duca,850,0.9921875,concept:athleteplaysforteam,concept:sportsteam:new_york_mets
4276,concept:athlete:paul_lo_duca,850,0.9735,concept:athleteplaysinleague,concept:sportsleague:mlb
4277,concept:athlete:paul_lo_duca,850,0.9555,concept:athleteplayssport,concept:sport:baseball
4278,concept:athlete:satchel_paige,850,0.984375,concept:athleteplayssport,concept:sport:baseball
4279,concept:athlete:brian_buscher,850,0.956,concept:athleteplaysinleague,concept:sportsleague:mlb
4280,concept:athlete:brian_buscher,850,0.98425,concept:athleteplayssport,concept:sport:baseball
4281,concept:athlete:geovany_soto,850,0.9375,concept:athleteplaysforteam,concept:sportsteam:cubs
4282,concept:athlete:wally_szczerbiak,850,1.0,concept:athleteledsportsteam,concept:sportsteam:minnesota_timberwolves
4283,concept:athlete:wally_szczerbiak,850,0.9375,concept:athleteplaysforteam,concept:sportsteam:celtics
4284,concept:athlete:kent_mercker,850,0.9375,concept:athleteplaysinleague,concept:sportsleague:mlb
4285,concept:athlete:kent_mercker,850,1.0,concept:athleteplayssport,concept:sport:baseball
4286,concept:athlete:steve_smith,850,0.9921875,concept:athleteplaysforteam,concept:sportsteam:prairie_view_a___m_panthers
4287,concept:athlete:dan_wheeler,850,0.99909375,concept:athleteplayssport,concept:sport:baseball
4288,concept:personmexico:byron_scott,850,0.9375,concept:coachesteam,concept:sportsteam:new_orleans_hornets
4289,concept:personmexico:david_huff,850,0.9375,concept:athleteplaysinleague,concept:sportsleague:mlb
4290,concept:personmexico:david_huff,850,0.9981875,concept:athleteplayssport,concept:sport:baseball
4291,concept:athlete:darwin_cubillan,850,0.9375,concept:athleteplayssport,concept:sport:baseball
4292,concept:athlete:brian_fuentes,850,1.0,concept:athleteplaysforteam,concept:sportsteam:anaheim_angels
4293,concept:athlete:brian_fuentes,850,0.995125,concept:athleteplaysinleague,concept:sportsleague:mlb
4294,concept:athlete:brian_fuentes,850,0.9960625,concept:athleteplayssport,concept:sport:baseball
4295,concept:personmexico:alex_s__gonzalez,850,0.96875,concept:athleteplaysinleague,concept:sportsleague:mlb
4296,concept:personmexico:alex_s__gonzalez,850,0.99275,concept:athleteplayssport,concept:sport:baseball
4297,concept:athlete:kirby_puckett,850,0.9375,concept:athleteledsportsteam,concept:sportsteam:twins
4298,concept:athlete:kirby_puckett,850,0.96875,concept:athleteplaysforteam,concept:sportsteam:twins
4299,concept:athlete:kirby_puckett,850,0.956,concept:athleteplaysinleague,concept:sportsleague:mlb
4300,concept:athlete:kirby_puckett,850,0.9685,concept:athleteplayssport,concept:sport:baseball
4301,concept:athlete:luke_schenscher,850,1.0,concept:athleteplaysinleague,concept:sportsleague:nba
4302,concept:athlete:ernie_banks,850,0.9375,concept:athleteplayssport,concept:sport:baseball
4303,concept:personmexico:jason_bay,850,0.984375,concept:athleteledsportsteam,concept:sportsteam:red_sox
4304,concept:personmexico:jason_bay,850,0.9999520422411282,concept:athleteplaysforteam,concept:sportsteam:pirates
4305,concept:personmexico:jason_bay,850,0.9974375,concept:athleteplaysinleague,concept:sportsleague:mlb
4306,concept:personmexico:jason_bay,850,0.98425,concept:athleteplayssport,concept:sport:baseball
4307,concept:personmexico:jason_bay,850,0.9970333393880467,concept:coachesteam,concept:sportsteam:pirates
4308,concept:athlete:scott_hatteberg,850,0.9999965189966978,concept:athleteplayssport,concept:sport:baseball
4309,concept:athlete:tim_byrdak,850,1.0,concept:athleteplayssport,concept:sport:baseball
4310,concept:athlete:joe_martinez,850,0.9981875,concept:athleteplayssport,concept:sport:baseball
4311,concept:athlete:jason_bulger,850,1.0,concept:athleteplayssport,concept:sport:baseball
4312,concept:athlete:will_venable,850,0.9375,concept:athleteplaysinleague,concept:sportsleague:mlb
4313,concept:athlete:kurt_birkins,850,1.0,concept:athleteplayssport,concept:sport:baseball
4314,concept:athlete:josh_boone,850,1.0,concept:athleteplaysinleague,concept:sportsleague:nba
4315,concept:personmexico:ike_diogu,850,1.0,concept:athleteplaysinleague,concept:sportsleague:nba
4316,concept:personmexico:david_pauley,850,0.987,concept:athleteplaysinleague,concept:sportsleague:mlb
4317,concept:personmexico:david_pauley,850,0.9960625,concept:athleteplayssport,concept:sport:baseball
4318,concept:personmexico:john_mcenroe,838,1.0,concept:athletebeatathlete,concept:athlete:ivan_lendl
4319,concept:personmexico:john_mcenroe,838,1.0,concept:athletebeatathlete,concept:athlete:jimmy_connors
4320,concept:personmexico:john_mcenroe,838,0.9375,concept:athletewinsawardtrophytournament,concept:awardtrophytournament:us_open
4321,concept:personmexico:john_mcenroe,838,0.96875,concept:athletewinsawardtrophytournament,concept:awardtrophytournament:wimbledon
4322,concept:athlete:jon_rauch,850,0.96875,concept:athleteplayssport,concept:sport:baseball
4323,concept:coach:alexei_kovalev,850,0.96875,concept:athleteplaysforteam,concept:sportsteam:canadiens
4324,concept:athlete:earl_boykins,850,1.0,concept:athleteplaysinleague,concept:sportsleague:nba
4325,concept:athlete:scott_spiezio,850,0.944,concept:athleteplaysinleague,concept:sportsleague:nfl
4326,concept:athlete:scott_spiezio,850,0.907,concept:athleteplayssport,concept:sport:football
4327,concept:athlete:mike_romano,850,0.9375,concept:athleteplayssport,concept:sport:baseball
4328,concept:athlete:mark_buehrle,850,1.0,concept:athleteplaysforteam,concept:sportsteam:colorado_rockies
4329,concept:athlete:mark_buehrle,850,0.9915625,concept:athleteplaysinleague,concept:sportsleague:mlb
4330,concept:athlete:mark_buehrle,850,0.9960625,concept:athleteplayssport,concept:sport:baseball
4331,concept:athlete:john_rheinecker,850,0.9375,concept:athleteplayssport,concept:sport:baseball
4332,concept:athlete:joba_chamberlain,850,0.987,concept:athleteplaysinleague,concept:sportsleague:mlb
4333,concept:athlete:joba_chamberlain,850,0.992125,concept:athleteplayssport,concept:sport:baseball
4334,concept:athlete:scott_sauerbeck,850,0.9375,concept:athleteplayssport,concept:sport:baseball
4335,concept:athlete:jeremy_roenick,850,1.0,concept:athleteplaysforteam,concept:sportsteam:ny_giants
4336,concept:athlete:jeremy_roenick,850,0.999748875,concept:athleteplaysinleague,concept:sportsleague:mlb
4337,concept:athlete:jeremy_roenick,850,0.9997519375,concept:athleteplayssport,concept:sport:baseball
4338,concept:personmexico:cliff_lee,850,1.0,concept:athleteplaysforteam,concept:sportsteam:san_jose_sharks
4339,concept:personmexico:cliff_lee,850,0.991625,concept:athleteplaysinleague,concept:sportsleague:mlb
4340,concept:personmexico:cliff_lee,850,0.992125,concept:athleteplayssport,concept:sport:baseball
4341,concept:athlete:edgar_martinez,850,0.96875,concept:athleteplaysforteam,concept:sportsteam:seattle_mariners
4342,concept:athlete:edgar_martinez,850,0.9675970699701156,concept:athleteplaysinleague,concept:sportsleague:mlb
4343,concept:athlete:edgar_martinez,850,0.9685,concept:athleteplayssport,concept:sport:baseball
4344,concept:coach:brenden_morrow,850,0.9921875,concept:athleteplaysforteam,concept:sportsteam:dallas_stars
4345,concept:athlete:jose_marte,850,0.9375,concept:athleteplayssport,concept:sport:baseball
